City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,bunyan,38.8463,35.8603,25.12,49,1,1.25,TR,1691532639
258,qui nhon,13.7667,109.2333,27.26,74,83,2.04,VN,1691532421
259,keren,15.7778,38.4581,20.97,87,90,1.38,ER,1691532640
260,vadso,70.0744,29.7487,21.49,94,0,2.57,NO,1691532640
261,jabat,7.75,168.9751,28.05,77,50,5.15,MH,1691532641
262,tharad,24.3961,71.6267,27.77,76,99,6.75,IN,1691532641
263,trinity beach,-16.7888,145.6968,20.56,83,40,4.63,AU,1691532642
264,swift current,50.2834,-107.8014,25.8,33,100,1.74,CA,1691532642
265,talnakh,69.4865,88.3972,13.45,62,94,1.03,RU,1691532343
266,fort mcmurray,56.7268,-111.381,22.04,37,31,3.15,CA,1691532643
267,bereznik,62.8551,42.7072,13.75,91,5,1.96,RU,1691532643
268,vilyuchinsk,52.9306,158.4028,14.15,55,53,2.03,RU,1691532346
269,hashtrud,37.4779,47.0508,20.47,49,0,1.34,IR,1691532644
270,pimentel,-6.8367,-79.9342,24.16,69,40,7.72,PE,1691532645
271,isna,25.2934,32.554,35.49,25,0,4.85,EG,1691532645
272,kone,-21.0595,164.8658,20.27,59,5,3.33,NC,1691532646
273,tavda,58.0425,65.2726,15.15,71,1,2.01,RU,1691532427
274,cabo san lucas,22.8909,-109.9124,37.01,62,34,5.78,MX,1691532145
275,lazaro cardenas,17.9583,-102.2,31.78,70,2,5.65,MX,1691532357
276,mandalgovi,45.7625,106.2708,19.17,54,34,6.58,MN,1691532648
277,altus,34.6381,-99.334,39.73,36,0,5.66,US,1691532648
278,coquimatlan,19.2,-103.8,33.65,47,9,2.7,MX,1691532649
279,siwa oasis,29.2041,25.5195,29.94,43,0,6.49,EG,1691532649
280,princeville,45.7668,-61.2985,20.94,81,20,5.66,CA,1691532166
281,whitehorse,60.7161,-135.0538,17.43,67,75,5.66,CA,1691532345
282,ilave,-16.0833,-69.6667,11.67,42,37,4.59,PE,1691532650
283,kiffa,16.6166,-11.4045,35.81,21,10,5.98,MR,1691532651
284,mugia,43.1041,-9.2179,20.51,70,0,2.6,ES,1691532651
285,lerwick,60.1545,-1.1494,10.0,79,100,13.8,GB,1691532092
286,remire-montjoly,4.9167,-52.2667,28.02,83,0,4.12,GF,1691532402
287,cabedelo,-6.9811,-34.8339,25.37,84,39,5.87,BR,1691532653
288,zalingei,12.9096,23.4741,21.95,86,53,1.52,SD,1691532653
289,puerto madero,14.7208,-92.4215,31.11,66,14,2.96,MX,1691532062
290,laizhou,37.1717,119.9214,21.99,83,0,1.57,CN,1691532654
291,keflavik,64.0049,-22.5624,12.95,87,20,4.12,IS,1691532354
292,susuman,62.7833,148.1667,8.58,55,95,0.26,RU,1691532347
293,yonggwang-up,40.0183,127.4547,21.87,92,84,0.17,KP,1691532656
294,leku,6.8667,38.45,15.64,87,99,1.24,ET,1691532656
295,port blair,11.6667,92.75,28.02,83,75,4.63,IN,1691532395
296,smithers,54.7804,-127.1743,19.12,72,97,1.04,CA,1691532527
297,smara,26.7384,-11.6719,23.63,64,0,7.72,EH,1691532658
298,bokhan,53.153,103.7714,15.94,96,100,1.42,RU,1691532658
299,floro,61.5996,5.0328,11.09,93,100,7.2,NO,1691532652
300,greymouth,-42.4667,171.2,5.89,78,69,2.75,NZ,1691532659
301,kill devil hills,36.0307,-75.676,31.01,55,40,3.09,US,1691532635
302,richland center,43.3347,-90.3868,29.9,37,84,2.86,US,1691532660
303,bahia honda,22.9036,-83.1592,31.46,68,28,2.82,CU,1691532660
304,tucuma,-0.1833,-50.05,26.67,81,85,4.11,BR,1691532438
305,krasnoturansk,54.3186,91.5639,15.06,67,82,1.75,RU,1691532661
306,alaghsas,17.0187,8.0168,27.42,63,93,4.99,NE,1691532646
307,gedo,9.0167,37.45,10.94,98,100,1.06,ET,1691532662
308,zaysan,47.4667,84.8667,17.41,64,23,1.52,KZ,1691532663
309,kingston,17.997,-76.7936,32.53,76,20,9.77,JM,1691532351
310,mili,6.0815,171.735,28.14,77,96,5.77,MH,1691532653
311,qaqortoq,60.7167,-46.0333,5.89,85,9,2.43,GL,1691532355
312,melioratorov,57.2107,65.6077,16.21,94,0,2.0,RU,1691532665
313,ciudad lazaro cardenas,17.9583,-102.2,31.78,70,2,5.65,MX,1691532357
314,taguatinga,-12.3857,-46.5711,29.31,24,0,1.07,BR,1691532666
315,homer,59.6425,-151.5483,17.09,80,75,4.63,US,1691532490
316,yuzhno-kurilsk,44.0306,145.8556,17.97,100,100,2.97,RU,1691532413
317,la'ie,21.6477,-157.9253,31.98,68,6,0.89,US,1691532350
318,st. paul,44.9444,-93.0933,29.87,42,20,5.14,US,1691532668
319,antofagasta,-23.65,-70.4,17.6,76,19,3.71,CL,1691532577
320,olavarria,-36.8927,-60.3225,6.39,69,92,3.36,AR,1691532431
321,cambridge,43.3601,-80.3127,26.01,58,100,1.34,CA,1691532558
322,arno,60.1167,18.6333,14.88,73,42,9.42,SE,1691532350
323,buala,-8.145,159.5921,27.03,81,95,3.97,SB,1691532416
324,ndele,8.4109,20.6473,21.01,96,90,1.27,CF,1691532670
325,fort st. john,56.2499,-120.8529,20.94,60,75,3.6,CA,1691532379
326,luanco,43.6152,-5.7934,20.71,89,0,5.08,ES,1691532671
327,tazovsky,67.4667,78.7,8.76,97,100,4.32,RU,1691532259
328,tommot,58.9564,126.2925,15.43,64,18,1.67,RU,1691532669
329,la libertad,-2.2333,-80.9,26.81,74,75,5.66,EC,1691532672
330,magnolia,33.2671,-93.2393,26.83,58,94,0.81,US,1691532673
331,arraial do cabo,-22.9661,-42.0278,21.92,83,100,4.63,BR,1691532349
332,inirida,3.8653,-67.9239,29.4,74,29,0.85,CO,1691532674
333,ramadi,33.4226,43.3058,36.77,18,0,7.29,IQ,1691532674
334,howrah,22.5892,88.3103,27.0,94,75,1.54,IN,1691532356
335,sanya,18.2431,109.505,27.2,85,66,2.39,CN,1691532675
336,mont-dore,-22.2833,166.5833,21.67,99,65,3.94,NC,1691532387
337,sabha,27.0377,14.4283,29.27,26,0,5.74,LY,1691532676
338,jabor,5.921,169.6434,27.84,72,100,1.5,MH,1691532677
339,kerikeri,-35.2268,173.9474,10.51,92,21,2.31,NZ,1691532543
340,jalalaqsi,3.3766,45.5996,23.27,81,55,8.31,SO,1691532678
341,kikwit,-5.041,18.8162,26.13,50,7,1.26,CD,1691532678
342,ugoofaaru,5.6667,73.0,27.28,81,100,5.31,MV,1691532679
343,buctzotz,21.2,-88.7833,34.06,51,25,6.54,MX,1691532679
344,moss point,30.4116,-88.5345,33.37,80,0,0.0,US,1691532680
345,kristiansund,63.1115,7.732,13.03,94,100,1.54,NO,1691532680
346,euclides da cunha,-10.5075,-39.0158,21.79,54,36,2.63,BR,1691532681
347,happy valley-goose bay,53.3168,-60.3315,18.17,68,40,5.66,CA,1691532391
348,peniche,39.3558,-9.3811,21.27,90,20,2.88,PT,1691532681
349,tazacorte,28.629,-17.9293,22.86,91,0,0.45,ES,1691532386
350,willow street,39.9793,-76.2764,28.88,53,0,11.32,US,1691532682
351,saint-pierre,-21.3393,55.4781,18.82,72,0,3.09,RE,1691532373
352,antonio enes,-16.2325,39.9086,21.24,73,3,3.4,MZ,1691532683
353,abdanan,32.9926,47.4198,30.98,15,30,1.18,IR,1691532684
354,nemuro,43.3236,145.575,18.33,100,100,5.59,JP,1691532148
355,flying fish cove,-10.4217,105.6791,23.82,88,100,5.66,CX,1691532427
356,vila do maio,15.1333,-23.2167,26.44,72,79,5.67,CV,1691532685
